YEAR,DUNSNO,COMPANYNAME,NATIONALCODE,COUNTYCODE,STATECODE,CITYCODE,STREETADDRESS,CITY,STATE,ZIPCODE,ZIPCODE4,MAILINGADDRESSCODE,MAILINGADDRESS,MAILINGCITYNAME,MAILINGSTATE,MAILINGZIPCODE,MAILINGZIPCODE4,PHONENUMBER,PRINCIPAL,DDM,BUSINESSDESCRIPTION,YEARSTARTED,SLS,SLSCODE,EMPLOYEESTHISSITE,EMPLOYEESTHISSITECODE,EMPLOYEESALLSITES,EMPLOYEESALLSITESCODE,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,SECONDARYNAME,PARENTCITYNAME,PARENTSTATE,DANDBOFFICE,HQDUNSNO,PARENTDUNSNO,ULTDUNSNO,STATUS,SUBSIDIARYINDICATOR,MANUFACTURING,SALESGROWTH,EMPLOYMENTGROWTH,SMSACODE,BASEYEARSALES,BASEYEAREMPLOYMENT,TRENDYEARSALES,TRENDYEAREMPLOYMENT,POPULATIONCODE,TRANSACTIONCODE,HIERCODE,DIASCODE,REPORTDATE
2000,1013692,SEDTEC LLC,0,313,45,5736,17125 29TH AVE N,MINNEAPOLIS,MN,55447,1755,,,,,,,6127201575,SANTOSH KALKAR,PRESIDENT,CSTM CMPTR PRGMG SV,2000,800000,2,10,0,10,0,7371,301,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1018766,JAIB INC,0,698,45,7647,437 WABASHA ST N,SAINT PAUL,MN,55102,1124,,,,,,,6512244828,GENE WILL,PRESIDENT,GROCERY STORES,2000,490000,2,6,0,6,0,5411,0,,,,,RIVERTOWN,,,,,,,0,0,1,,,370,,,,,8,3,,,1018
2000,1018774,INTEGRATED ENVIRONMENTAL SVC,0,698,45,7647,8440 FAIRCHILD AVE,SAINT PAUL,MN,55112,6123,,P O BOX 49815,MINNEAPOLIS,MN,55449,815,7637846726,GLEN BUSS,PRESIDENT,INDL MCHNRY EQPT,2000,300000,2,2,0,2,0,5084,707,706,,,,IES INC,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1020713,HR CLIENT INC,0,698,45,7647,385 VLLAGE CTR DR STE 385,SAINT PAUL,MN,55127,,,,,,,,6517660130,KAREN CLARY,PRESIDENT,MNGMNT CNSLTNG SVCS,2000,140000,2,2,0,2,0,8742,200,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1022628,RAGS 2 RICHES HARDWOOD FLRG,0,225,45,4310,4043 74TH ST E,INVER GROVE H,MN,55076,4354,,,,,,,6514554818,WEST ORTEGA,OWNER,WOMENS CLOTHNG STRS,2000,51000,2,1,0,1,0,5621,0,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1022651,NORTHWOODS TROPHY INC,0,918,45,4777,2211 ITASCA AVE S,LAKELAND,MN,55043,9724,,,,,,,6514363874,JOSEPH A DIERS,PRESIDENT,MISC RTL STRS NEC,2000,92000,2,2,0,2,0,5999,803,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1047351,BOHN JANET,0,313,45,5736,2486 HEMLOCK LN N,MINNEAPOLIS,MN,55441,4129,,,,,,,7635539882,JANET BOHN,OWNER,HOMEFURNISHINGS,2000,130000,2,1,0,1,0,5023,104,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1047377,AUCTION PLUS,0,313,45,5736,16715 49TH PL N,MINNEAPOLIS,MN,55446,1735,,,,,,,7636946164,WAYNE LARSON,OWNER,BUS SERVICES NEC,2000,52000,2,1,0,1,0,7389,1402,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1047385,PROGENTEC LLC,0,38,45,5736,3100 84TH LN NE STE A,MINNEAPOLIS,MN,55449,7264,,,,,,,7637804074,WILLIAM CURNS,,MEAS CTLNG DVCS N,2000,770000,2,10,0,10,0,3829,408,,,,,,,,,,,,0,0,0,,,370,,,,,7,2,,,1018
2000,1047526,ALLIANT MARKETING,0,313,45,2514,9905 VALLEY VIEW RD,EDEN PRAIRIE,MN,55344,3526,,,,,,,9529460030,PETER KNUDSEN,PARTNER,MNGMNT CNSLTNG SVCS,2000,290000,2,4,0,4,0,8742,300,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
